no.,stage,date,weekday,match_no,team,player,point,rank,pt,host,commentary,judge,reporter,round_no,win_no,deal_in_no,riichi_no,call_no,drawn_no,renchan_no,4call_no
15,2018R,2018/10/12,金,1,KONAMI 麻雀格闘倶楽部,前原雄大,11100,4,-48.9,松嶋桃,鈴木たろう,張敏賢,松本圭世,12,2,3,4,4,3,1,0
15,2018R,2018/10/12,金,1,渋谷ABEMAS,白鳥翔,21300,3,-18.7,松嶋桃,鈴木たろう,張敏賢,松本圭世,12,1,1,2,4,3,1,0
15,2018R,2018/10/12,金,1,U-NEXT Pirates,朝倉康心,31800,2,11.8,松嶋桃,鈴木たろう,張敏賢,松本圭世,12,2,1,1,6,3,1,0
15,2018R,2018/10/12,金,1,EX風林火山,滝沢和典,35800,1,55.8,松嶋桃,鈴木たろう,張敏賢,松本圭世,12,4,1,3,5,3,1,0
16,2018R,2018/10/12,金,2,渋谷ABEMAS,松本吉弘,72800,1,92.8,松嶋桃,鈴木たろう,張敏賢,松本圭世,17,7,1,5,6,1,4,0
16,2018R,2018/10/12,金,2,EX風林火山,滝沢和典,18100,3,-21.9,松嶋桃,鈴木たろう,張敏賢,松本圭世,17,1,1,2,1,1,1,0
16,2018R,2018/10/12,金,2,U-NEXT Pirates,小林剛,38600,2,18.6,松嶋桃,鈴木たろう,張敏賢,松本圭世,17,6,2,4,2,1,4,0
16,2018R,2018/10/12,金,2,KONAMI 麻雀格闘倶楽部,前原雄大,-29500,4,-89.5,松嶋桃,鈴木たろう,張敏賢,松本圭世,17,2,6,4,3,1,0,0
17,2018R,2018/10/15,月,1,赤坂ドリブンズ,村上淳,4900,4,-55.1,松嶋桃,勝又健志,張敏賢,松本圭世,15,1,3,1,1,2,1,0
17,2018R,2018/10/15,月,1,KONAMI 麻雀格闘倶楽部,前原雄大,70600,1,90.6,松嶋桃,勝又健志,張敏賢,松本圭世,15,6,3,3,4,2,3,0
17,2018R,2018/10/15,月,1,渋谷ABEMAS,松本吉弘,18100,2,-1.9,松嶋桃,勝又健志,張敏賢,松本圭世,15,2,0,1,6,2,3,0
17,2018R,2018/10/15,月,1,U-NEXT Pirates,小林剛,6400,3,-33.6,松嶋桃,勝又健志,張敏賢,松本圭世,15,4,2,4,4,2,0,0
18,2018R,2018/10/15,月,2,渋谷ABEMAS,白鳥翔,8900,4,-51.1,松嶋桃,勝又健志,張敏賢,松本圭世,16,2,1,4,5,4,0,1
18,2018R,2018/10/15,月,2,U-NEXT Pirates,石橋伸洋,14500,3,-25.5,松嶋桃,勝又健志,張敏賢,松本圭世,16,2,2,3,7,4,0,0
18,2018R,2018/10/15,月,2,赤坂ドリブンズ,園田賢,49600,1,69.6,松嶋桃,勝又健志,張敏賢,松本圭世,16,4,5,1,4,4,4,0
18,2018R,2018/10/15,月,2,KONAMI 麻雀格闘倶楽部,前原雄大,27000,2,7,松嶋桃,勝又健志,張敏賢,松本圭世,16,4,2,3,8,4,4,0
19,2018R,2018/10/16,火,1,EX風林火山,滝沢和典,54100,1,74.1,小林未沙,小林剛,張敏賢,松本圭世,11,2,0,2,3,4,2,0
19,2018R,2018/10/16,火,1,赤坂ドリブンズ,鈴木たろう,-8500,4,-68.5,小林未沙,小林剛,張敏賢,松本圭世,11,0,3,2,6,4,0,0
19,2018R,2018/10/16,火,1,渋谷ABEMAS,多井隆晴,30200,2,10.2,小林未沙,小林剛,張敏賢,松本圭世,11,3,0,2,8,4,0,1
19,2018R,2018/10/16,火,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,24200,3,-15.8,小林未沙,小林剛,張敏賢,松本圭世,11,2,2,3,2,4,1,0
20,2018R,2018/10/16,火,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,49100,1,69.1,小林未沙,小林剛,張敏賢,松本圭世,23,6,2,5,7,7,6,0
20,2018R,2018/10/16,火,2,渋谷ABEMAS,白鳥翔,-9800,4,-69.8,小林未沙,小林剛,張敏賢,松本圭世,23,1,1,2,5,7,0,0
20,2018R,2018/10/16,火,2,EX風林火山,二階堂亜樹,27500,3,-12.5,小林未沙,小林剛,張敏賢,松本圭世,23,5,2,5,4,7,4,0
20,2018R,2018/10/16,火,2,赤坂ドリブンズ,園田賢,33200,2,13.2,小林未沙,小林剛,張敏賢,松本圭世,23,4,2,8,7,7,5,0
21,2018R,2018/10/18,木,1,セガサミーフェニックス,近藤誠一,23400,2,3.4,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,1,2,3,3,1,0
21,2018R,2018/10/18,木,1,U-NEXT Pirates,朝倉康心,16200,4,-43.8,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,3,6,1,3,1,0
21,2018R,2018/10/18,木,1,TEAM RAIDEN / 雷電,萩原聖人,42000,1,62,小林未沙,多井隆晴,張敏賢,松本圭世,11,3,0,3,3,3,0,0
21,2018R,2018/10/18,木,1,KONAMI 麻雀格闘倶楽部,高宮まり,18400,3,-21.6,小林未沙,多井隆晴,張敏賢,松本圭世,11,1,0,2,4,3,1,0
22,2018R,2018/10/18,木,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,25100,3,-14.9,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,1,2,5,3,0,0
22,2018R,2018/10/18,木,2,U-NEXT Pirates,小林剛,29600,2,9.6,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,0,1,5,3,0,0
22,2018R,2018/10/18,木,2,TEAM RAIDEN / 雷電,萩原聖人,9300,4,-50.7,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,1,2,5,3,1,0
22,2018R,2018/10/18,木,2,セガサミーフェニックス,魚谷侑未,36000,1,56,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,1,3,5,3,2,0
23,2018R,2018/10/19,金,1,渋谷ABEMAS,多井隆晴,35700,1,55.7,松嶋桃,朝倉康心,張敏賢,松本圭世,9,3,1,1,3,1,1,0
23,2018R,2018/10/19,金,1,EX風林火山,二階堂亜樹,19700,3,-20.3,松嶋桃,朝倉康心,張敏賢,松本圭世,9,1,2,0,5,1,0,0
23,2018R,2018/10/19,金,1,セガサミーフェニックス,魚谷侑未,17600,4,-42.4,松嶋桃,朝倉康心,張敏賢,松本圭世,9,2,2,0,4,1,0,0
23,2018R,2018/10/19,金,1,赤坂ドリブンズ,村上淳,27000,2,7,松嶋桃,朝倉康心,張敏賢,松本圭世,9,2,2,3,4,1,0,0
24,2018R,2018/10/19,金,2,渋谷ABEMAS,松本吉弘,16300,3,-23.7,松嶋桃,朝倉康心,張敏賢,松本圭世,11,0,1,1,3,3,1,0
24,2018R,2018/10/19,金,2,セガサミーフェニックス,近藤誠一,14300,4,-45.7,松嶋桃,朝倉康心,張敏賢,松本圭世,11,1,1,3,1,3,0,0
24,2018R,2018/10/19,金,2,EX風林火山,二階堂亜樹,39900,1,59.9,松嶋桃,朝倉康心,張敏賢,松本圭世,11,3,1,1,6,3,2,0
24,2018R,2018/10/19,金,2,赤坂ドリブンズ,園田賢,29500,2,9.5,松嶋桃,朝倉康心,張敏賢,松本圭世,11,4,1,1,12,3,0,0
25,2018R,2018/10/22,月,1,TEAM RAIDEN / 雷電,黒沢咲,47200,1,67.2,松嶋桃,村上淳,張敏賢,松本圭世,10,3,0,3,2,3,2,0
25,2018R,2018/10/22,月,1,EX風林火山,二階堂亜樹,28100,2,8.1,松嶋桃,村上淳,張敏賢,松本圭世,10,2,0,0,7,3,0,0
